Symbol,Open MAE,Close MAE,Open R2,Close R2
AAPL,5.189281331842597,5.189281331842597,0.959687729089909,0.959687729089909
MSFT,7.356688071356881,7.356688071356881,0.9780017800859344,0.9780017800859344
AMZN,6.550373079853672,6.550373079853672,0.9030701118034651,0.9030701118034651
GOOGL,4.116499849645102,4.116499849645102,0.9699435886806254,0.9699435886806254
NVDA,2.6802661821116573,2.6802661821116573,0.9875760441501498,0.9875760441501498
TSLA,12.734511998494467,12.734511998494467,0.8632557215501758,0.8632557215501758
JPM,2.25879650800656,2.25879650800656,0.9940415073594809,0.9940415073594809
JNJ,1.4996922394723589,1.4996922394723589,0.9194240103283757,0.9194240103283757
INTC,0.9473486728399572,0.9473486728399572,0.9585502471146451,0.9585502471146451
PG,1.4405745572690611,1.4405745572690611,0.9797272970465513,0.9797272970465513
KO,0.6106931442510886,0.6106931442510886,0.9683270333798668,0.9683270333798668
PEP,1.5578393997308884,1.5578393997308884,0.9407326727109717,0.9407326727109717
XOM,1.500528168276131,1.500528168276131,0.9793812830870056,0.9793812830870056
DIS,2.059057569641996,2.059057569641996,0.9589788092002204,0.9589788092002204
NFLX,12.447215986985427,12.447215986985427,0.9857095962261018,0.9857095962261018
BA,4.053147498622083,4.053147498622083,0.9639562488069819,0.9639562488069819
CSCO,0.5866009122271868,0.5866009122271868,0.9787921818721171,0.9787921818721171
WMT,0.8342608430113972,0.8342608430113972,0.9869524991802924,0.9869524991802924
PFE,0.6421751603847594,0.6421751603847594,0.9835975242832777,0.9835975242832777
MRK,1.2417105953752496,1.2417105953752496,0.9868311635781123,0.9868311635781123
ORCL,1.41894529937744,1.41894529937744,0.9965726875896385,0.9965726875896385
WFC,1.1942437705993658,1.1942437705993658,0.8981563881799208,0.8981563881799208
IBM,1.8715653258562095,1.8715653258562095,0.9942128158837306,0.9942128158837306
ADBE,8.654323348378748,8.654323348378748,0.984470578062319,0.984470578062319
CVX,2.204512233060948,2.204512233060948,0.873676381664299,0.873676381664299
MCD,3.215256280414129,3.215256280414129,0.9480666947440194,0.9480666947440194
GS,6.539682092001271,6.539682092001271,0.8849622287626615,0.8849622287626615
AMD,3.3693695242193673,3.3693695242193673,0.980128085538509,0.980128085538509
BABA,2.587447381311534,2.587447381311534,0.9192298784957357,0.9192298784957357
LMT,4.546136009909887,4.546136009909887,0.9845785109342897,0.9845785109342897
