Date,Open,High,Low,Close,Volume,Symbol
2022-01-27,159.83183900024744,161.19943618602957,155.72904744290105,156.65390014648438,121954600,AAPL
2022-01-28,163.03928812749427,167.6045054755724,160.17618447475024,167.58482360839844,179935700,AAPL
2022-01-31,167.41758353014143,172.17957503076116,166.77805038659238,171.96311950683594,115541600,AAPL
2022-03-01,162.25204310655977,164.12381222056385,159.5626236003494,160.7743377685547,83474400,AAPL
2022-03-02,161.9466511360931,164.87250887287016,160.52805162347445,164.0843963623047,79724800,AAPL
2022-03-03,165.96600453428687,166.3994671487369,163.08940676711282,163.75929260253906,76678400,AAPL
2022-03-30,175.89618261840158,176.940425244863,174.0736734844487,175.12777709960938,92633200,AAPL
2022-03-31,175.19669661387624,175.38387498077014,171.80782416398608,172.01470947265625,103049300,AAPL
2022-04-01,171.4433554045636,172.28072769395772,169.38442310861137,171.7191925048828,78751300,AAPL
2022-04-29,159.43451835036365,163.7297149213484,154.9127445495681,155.30679321289062,131747600,AAPL
2022-05-02,154.3807770157754,155.87817395874512,150.99190440338296,155.61219787597656,123055300,AAPL
2022-05-03,155.7993550756251,158.32131752473302,153.99656823554054,157.10958862304688,88966500,AAPL
2022-05-04,157.29675996632386,164.00553784337976,156.89285035046797,163.55238342285156,108256500,AAPL
2022-05-26,135.5467872401753,142.40354364055585,135.30014121818982,141.85105895996094,90601500,AAPL
2022-05-27,143.43947862792666,147.67191829271428,143.31121786248204,147.63246154785156,90978500,AAPL
2022-05-31,147.0701259070272,148.6387912999033,144.87003212276906,146.84320068359375,103718400,AAPL
2022-06-01,147.88898855544838,149.70431520683684,145.69877008653793,146.7149658203125,74286600,AAPL
2022-06-02,145.8467372280195,149.24058912493618,144.889749394735,149.181396484375,72348100,AAPL
2022-06-03,144.92919288462284,145.98484505836583,142.52194041547213,143.42959594726562,88570300,AAPL
2022-06-14,131.34395874256492,132.09375731155245,129.71608578781024,130.97891235351562,84784300,AAPL
2022-06-28,140.22322830416132,141.49591539948213,135.47776033378267,135.5961456298828,67083400,AAPL
2022-06-29,135.6158632251475,138.78278990100551,134.83645332014265,137.3621063232422,66242400,AAPL
2022-06-30,135.40869168384842,136.51366125405357,131.97538262351003,134.88580322265625,98964500,AAPL
2022-07-01,134.21491888238126,137.17467172359363,133.8400270926031,137.06614685058594,71051600,AAPL
2022-07-05,135.92171062767136,139.71019037554066,135.09296845138468,139.66085815429688,73353800,AAPL
2022-07-20,149.09259190386942,151.65771671503967,148.35265379150255,150.98683166503906,64823400,AAPL
2022-07-28,154.87398254214926,155.52513172309773,152.3384689919664,155.23902893066406,81378700,AAPL
2022-07-29,159.07685228933292,161.43478808024193,157.36019024896586,160.32980346679688,101786900,AAPL
2022-08-01,158.84990860848058,161.39529752255416,158.73152332775882,159.34320068359375,67829400,AAPL
2022-08-02,157.9521310424326,160.2311380578776,157.48843527995646,157.8633270263672,59907000,AAPL
2022-08-03,158.6822208140143,164.3550807397493,158.59343183685212,163.90126037597656,82507500,AAPL
2022-08-04,163.78283934395313,164.94701654031078,162.22403448507984,163.5855255126953,55474100,AAPL
2022-08-05,161.24409960483675,163.85229951311487,161.03662247662456,163.3583221435547,56697000,AAPL
2022-08-26,168.51542056155736,168.98963454069056,161.58984928248998,161.6491241455078,78961000,AAPL
2022-08-29,159.2088710477823,160.9377915248913,157.89490475117088,159.4361114501953,73314000,AAPL
2022-08-30,160.17707980033242,160.60189303087512,155.8201965138857,156.99586486816406,77906200,AAPL
2022-08-31,158.37902475140172,158.6457767569056,155.24720997935182,155.3262481689453,87991100,AAPL
2022-09-01,154.75320473077574,156.51176267629668,152.80693300315025,156.05731201171875,74229900,AAPL
2022-09-02,157.8257560303605,158.42840897250582,153.10333398862824,153.93321228027344,76957800,AAPL
2022-09-30,139.5782261046943,141.37631073101744,136.3377361896639,136.5353240966797,124925300,AAPL
2022-10-03,136.54521297049774,141.34667296717555,136.03147235346887,140.734130859375,114311700,AAPL
2022-10-04,143.28304559179628,144.45871390525903,142.5223163757339,144.3401641845703,87830100,AAPL
2022-10-05,142.33462989571538,145.6047572886982,141.28738533142962,144.6365509033203,79471000,AAPL
2022-10-06,144.0536502084257,145.76280735519018,143.4707606431982,143.67822265625,68402200,AAPL
2022-10-27,146.2864321323527,147.25462333513107,142.39388893497147,143.05581665039062,109180200,AAPL
2022-10-28,146.41488761875652,155.60286960065065,146.0394750732548,153.86407470703125,164762400,AAPL
2022-10-31,151.31515633426,152.38214929586798,150.0900869913041,151.49298095703125,97943200,AAPL
2022-11-01,153.21202018477516,153.57755860812748,147.33369260049676,148.8353729248047,80379300,AAPL
2022-11-02,147.15583065483594,150.3370455863596,143.2534131059143,143.28305053710938,93604600,AAPL
2022-11-03,140.348842024828,141.07993392854812,137.0787143855393,137.2071533203125,97918500,AAPL
2022-11-04,140.61134018259497,141.18530623843904,132.9815825695617,136.93995666503906,140814800,AAPL
2022-11-30,139.92852238105422,147.17235443840406,139.08737692084236,146.48953247070312,111380900,AAPL
2022-12-01,146.6676817749002,147.57810612254133,145.08432589204557,146.76663208007812,71250400,AAPL
2022-12-02,144.44108106262544,146.45984525867783,144.1342943784221,146.27182006835938,65447400,AAPL
2022-12-05,146.23224678914536,149.34946051004155,144.2530596393701,145.10411071777344,68826400,AAPL
2022-12-06,145.5395339297925,145.7671362234273,140.44311797232058,141.42282104492188,64727200,AAPL
2022-12-07,140.7103350595449,141.87804841439493,138.54312237215163,139.4733428955078,69721100,AAPL
2023-01-03,128.92423659950236,129.53777972145332,122.87781986866916,123.7684555053711,112117500,AAPL
2023-01-04,125.5695196673302,127.32110440506466,123.77835783326216,125.04503631591795,89113600,AAPL
2023-01-05,125.8070218186634,126.44036106917036,123.46169000194207,123.71897888183594,80962700,AAPL
2023-01-06,124.69866253070737,128.9341133916564,123.59031523952562,128.27108764648438,87754700,AAPL
2023-01-24,138.8498542672173,141.67020163390134,138.83996376873685,141.0467529296875,66435100,AAPL
2023-01-25,139.42383632315142,140.94780376437996,137.36547990253146,140.3837432861328,65799300,AAPL
2023-01-26,141.68011141740982,142.7488742986824,140.42332333943187,142.46189880371094,54105100,AAPL
2023-01-27,141.67019877088234,145.69783617068458,141.5910294846458,144.41136169433594,70555800,AAPL
2023-01-30,143.45148125337437,144.03533779783174,141.36343835201114,141.51187133789062,64015300,AAPL
2023-01-31,141.21500196773877,142.8379348478305,140.7993744728372,142.7884521484375,65874500,AAPL
2023-02-01,142.47176699297287,145.0842930380827,139.84935044958516,143.91656494140625,77663600,AAPL
2023-02-02,147.3505008022738,149.6067733054918,146.62810160519135,149.2505340576172,118339000,AAPL
2023-02-03,146.48951084456712,155.74221524092275,146.29159518314714,152.89218139648438,154357300,AAPL
2023-02-06,150.98228624419954,151.50676958668788,149.2109054384384,150.15101623535156,69858300,AAPL
2023-02-07,149.07235465259149,153.61458490158566,149.07235465259149,153.04061889648438,83322600,AAPL
2023-03-06,152.42195623733048,154.9096382410585,152.09490505667793,152.46160888671875,87558000,AAPL
2023-03-07,152.33274450947457,152.6598107789335,149.78561404449275,150.25143432617188,56182000,AAPL
2023-03-08,151.4506679888601,152.104800552819,150.47938986613707,151.5101318359375,47204800,AAPL
2023-03-09,152.19400890417916,153.1652871071905,148.89362901108174,149.25042724609375,53833600,AAPL
2023-03-10,148.87382687231752,149.5973289873677,146.29694889334849,147.1790313720703,68572400,AAPL
2023-04-05,163.27456173694304,163.58180171406576,160.36071207007467,162.3032684326172,51511700,AAPL
2023-04-06,160.98509285252538,163.492601091182,160.55892518671303,163.1952667236328,45390100,AAPL
2023-04-10,159.98409444358578,160.5886688232422,158.6560179778013,160.5886688232422,47716900,AAPL
2023-05-08,170.94568850577377,172.30351186374347,170.57898470464832,171.9566192626953,55962800,AAPL
2023-05-09,171.51064754209378,171.99627909889776,170.07354895127378,170.24203491210938,45326900,AAPL
2023-05-10,171.48090823595766,172.4819183565725,170.37086089019692,172.01609802246094,53724500,AAPL
2023-05-11,172.30352323742437,173.0369308880872,170.63845981475797,172.20440673828125,49514700,AAPL
2023-06-07,177.0972939477575,179.84645475343302,175.9857264641506,176.48196411132812,61944600,AAPL
2023-06-08,176.5613357676663,179.47921534059608,176.124659391338,179.2112579345703,50214900,AAPL
2023-06-09,180.1342576075761,180.8587602986888,179.27080898742852,179.59832763671875,48870700,AAPL
2023-07-07,189.9697113944817,191.2202248903426,188.80851704604532,189.2451934814453,46778000,AAPL
2023-07-10,187.835868262902,188.56038612953148,185.63257190372127,187.19076538085932,59922200,AAPL
2023-07-11,187.73663959244752,187.8755855347649,185.19590513637428,186.66476440429688,46638100,AAPL
2023-07-12,188.25270672963643,190.2575110663078,187.05182010303508,188.342041015625,60750200,AAPL
2023-08-08,178.33786386983812,178.9135012797414,176.24374067710872,178.44703674316406,67823000,AAPL
2023-08-09,179.5090242423061,179.56857034442828,175.678068518058,176.8491973876953,60378500,AAPL
2023-08-10,178.12946109590703,179.38990895654987,176.26361784560095,176.63082885742188,54686900,AAPL
2023-08-11,176.2233960656567,177.5153442624666,175.458153778981,176.6904754638672,51988100,AAPL
2023-09-11,178.9563786732192,179.18495201045798,176.2432512228952,178.25076293945312,58953100,AAPL
2023-09-12,178.37994480745334,179.01598610395126,173.73882836568524,175.2096710205078,90370200,AAPL
2023-10-09,175.71653078442577,177.9426831492908,174.7127825048992,177.883056640625,42390800,AAPL
2023-10-10,176.9985585807148,178.60853494693302,176.84947714698436,177.28675842285156,43698000,AAPL
2023-10-11,177.09792315514355,178.7377278666485,176.501642940032,178.6880340576172,47551100,AAPL
2023-10-12,178.95636590765267,181.21231619373,177.93272198255502,179.5924072265625,56743100,AAPL
2023-10-13,180.29799426494208,180.8048346772269,177.03828085370077,177.743896484375,51427100,AAPL
2023-11-09,181.8284924326774,182.9813068996389,180.68559549720567,181.28189086914065,53763500,AAPL
2023-11-10,183.0731408572348,185.66047183761324,182.63528344353364,185.4912872314453,66133400,AAPL
2023-11-13,184.91409464160964,185.12306234297503,183.31194313207843,183.8990631103516,43627500,AAPL
2023-11-28,188.85478346401288,190.1484487418159,188.4766311807352,189.4717559814453,38415400,AAPL
2023-12-11,192.16855411471755,192.54670640437527,190.4867907436393,192.2382049560547,60943700,AAPL
